gene,signedsig__GSE125583_PRJNA516886_meta,signedsig__GSE159699_PRJNA670209_meta,signedsig__GSE231341_PRJNA964438_meta,signedsig__GSE95587_PRJNA377568_meta,signedsig__MayoRNAseq_cerebellum_meta1,signedsig__MayoRNAseq_cerebellum_meta2,signedsig__MSBB_meta1,signedsig__MSBB_meta2,signedsig__MSBB_meta3,signedsig__MSBB_meta4,signedsig__ROSMAP_meta1,signedsig__ROSMAP_meta6
A1BG,0.0077106534915267,0.0974915744838503,0.0077145355377853,0.0032654935828763,0.1020614048778145,0.0115364620703546,0.0342974218729118,0.073292256924132,0.0362162563386745,0.0669578773946117,0.0142777118311284,0.0782642130600464
A2M,0.0256168573085556,0.0024749221681263,0.0022569908202716,0.0302874167348756,0.2991242328890862,0.1626381906770139,0.0034731933647708,0.0082040790322683,0.0218860296687641,0.00379756406,0.0009160044051063,0.0009881414930826
A2ML1,0.0299115063034057,0.0214530757862947,0.0021688012831104,0.0083468402401975,0.0388163232177028,0.0369346700405802,0.010034798287306,0.0122738536438827,0.0003928263730767,0.0102660080330363,0.0148050845169257,0.0002360488873382
A4GALT,0.0575177708940004,0.1016166594334574,0.0346661824916414,0.0146500311509997,0.0408623697496214,0.0143897878219176,0.0045386325702321,0.0385174317368966,0.0514876282641195,0.0034740375535068,0.0008770577150282,0.0048988240732064
AAAS,0.0100849626570038,0.0078283686442157,0.0051481035762285,0.0220526755235863,0.1030656892341937,0.0240402794562256,0.0034166018531187,0.0336714524616103,0.0126746693845079,0.0110430458585451,0.0060082326777556,0.0064921332009655
AACS,0.0804828106638223,0.030591735278196,0.0049126461228265,0.0188057676474492,0.0380889107256649,0.0066261207184842,0.0100414412365881,0.0505811165096528,0.1179279221715853,0.0618708792065362,0.0075151167670376,0.0034206555450364
AADAT,0.0159005928352382,0.0018865886086444,0.0057096400523125,0.0261909749724326,0.0464525789027737,0.0013578865362305,0.0032372687440473,0.0038743006783763,0.0126948806511929,0.0105796544903466,0.000409670115032,0.0156969594696442
AAED1,0.0581029342913191,0.0069765106032888,0.0097441335504991,0.0023416943987587,0.0634802830793912,0.0602715871085154,0.0141317765385244,0.0075103161225618,0.0021176906547223,0.0073703412796014,0.0007320912633268,0.0047287919147426
AAGAB,0.0012677998030084,0.0444731026685552,0.0005315345691162,0.0027661761672608,0.3066149357151962,0.0058794632800358,0.002126615976644,0.0057668106465766,0.0101027023447463,0.0180034981780316,0.0038894112919959,0.0194127606810968
AAK1,0.3930535872605738,0.0120024398274964,0.0064292325362469,0.135237072256595,0.0968320513174602,0.0171833038429108,0.0140734538549284,0.0629806821697985,0.2284308970478479,0.0519082000215661,0.008545997150612,0.0176185200737796
AAMDC,0.0199756135285033,0.0064142739157649,0.0083222641724949,0.0144663648012186,0.0724342793746335,0.0050567555644042,0.0067741066881432,0.026157840096925,0.0034138353337148,0.0391527691955065,0.0008652339567729,0.0029955912524044
AAMP,0.0244509488349952,0.0091282723611392,0.00372928440989,0.0038565172056369,0.1400546529512704,0.0254459623213945,0.0012242687360573,0.0176278253458326,0.0032236075390757,0.0036657659160028,0.0015700091452597,0.0755593730423228
AAR2,0.0002170292875862,0.0007817543365135,0.0048332240406282,0.0029143974454375,0.1606718945228402,0.0060223332617441,0.0051649637136689,0.0012821255872072,0.0002274377594941,0.014490542640293,0.0001735693142865,0.0010149331305298
AARD,2.9631694849377324e-05,0.035376467254442,0.0181823905076706,0.0017346751984008,0.0262974900257848,0.0001430060019777,0.0001738869486158,3.4354335724441096e-05,0.0023974189845205,0.0001395301012918,0.000390909350087,0.0004249030952449
AARS,0.0885668551099964,0.02454975999128,0.0005396662945267,0.0030517815024115,0.0068687345648357,0.0018038189133611,0.0134999244157531,0.0251090075953695,0.0093260022082113,0.0185283179096483,0.0084426067507137,0.0060004330041068
AARS2,6.03439386788066e-05,0.0008646045183493,0.0010219530100494,0.0007678189180853,0.0098320471977012,0.0007494401609803,3.937894429800732e-05,0.0035410804196557,4.665827633695896e-05,0.0002409461387072,3.722008782376993e-06,0.0004769373436907
AARSD1,0.0946138199255706,0.0497847591652368,0.008434053835888,0.0302510968331143,0.1288553863269831,0.001196102880125,0.0170166926900848,0.0470085577256057,0.0614574527538523,0.0366885511179307,0.0105796010720118,0.0015865781241736
AASDH,0.088522772741335,0.019035879519825,0.0089869145753854,0.002450585934334,0.2479087461601255,0.0174583987796874,0.005415568755693,0.0078558887304844,0.0119603513429854,0.0073981292543361,0.0025955470608858,0.0041189752679683
AASDHPPT,0.007893513589014,0.0057248926021062,0.0005765478724097,0.0009806290746686,0.1067643057450702,0.000794291026964,0.0026644232069302,0.0042516333850191,0.0064167615602882,0.0145688915702472,0.0006235999840527,0.0001781663171288
AASS,0.0338025346779038,0.0081619419019529,0.0045537630076346,0.0193465507715752,0.0325592419012042,0.1212431395301292,0.0068112812453687,0.0244467397180633,0.0005996860731257,0.0217723621866915,0.0002387148158073,0.0077926206341183
AATF,0.0208890332377859,0.0194500394647635,0.0051177749179286,0.0070233360487197,0.0148979911891523,0.1026054714350538,0.0033865009094147,0.0074604661868979,0.0043963295844676,0.0016633230878097,0.0017539139789769,0.0344044694610883
AATK,0.0206538362342686,0.0256244804264468,0.0076140598341924,0.0142715370666146,0.1627384336897697,0.0390275176392916,0.0057302820811621,0.0116546469511934,0.0547014575132763,0.0129049883651455,0.0039955385777374,0.0447165287974824
ABAT,0.0142527522550266,0.0049919244831106,0.0064503908582464,0.0015088904739087,0.1638096080849571,0.0045125840063611,0.0077230131271744,0.025359195241543,0.1275550505503761,0.0113245226637029,0.0088402656086624,0.0012367419479307
ABCA1,0.0004582137089536,0.0002321619318096,0.0022657202743558,0.0004256225431027,0.004434323196667,0.0002093268312081,0.0093420226999968,0.0018105073808313,0.0056595732340793,0.0018873740437014,0.0005428226001755,9.541206216558574e-05
ABCA10,0.0097403044859737,0.0066953746687201,0.0163196976668434,0.004091125518914,0.0725776651259375,0.0141726983941244,0.0144035893615952,0.0183911236251484,0.0154512442740316,0.0422975080957745,0.0103058339351154,0.0062963215508686
ABCA11P,0.0137479857839104,0.0014712255505195,0.0004440927707045,1.0801025849833908e-05,0.0376885902394492,0.0002435371333969,0.0091932840736379,0.0128998946870279,0.0062432554566138,0.0388495806963684,0.0006745321096508,0.0082806738260006
ABCA13,0.0217870195832616,0.0162140729973461,0.0088813564241604,4.7075005657373976e-05,0.149428980654199,0.0494559758818256,0.0003884317670092,0.0005231856862918,0.0169566478983189,0.0005037779065195,6.910168895735691e-06,0.0002016580521082
ABCA17P,0.105327074572263,0.0211587396915794,0.0052923988354104,0.0312194883836112,0.1165153932428744,0.0821340452574728,0.0028192535490159,0.0098753456847123,0.0076376074290921,0.0103127389132154,0.0006397347923886,0.0005751493915271
